Title,Type,Latitude,Longitude,map,Country
"Nagyhódos, Hungary",Road,47.852843,22.77699,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538172934464!6m8!1m7!1s_wWgxfZE1j70KACcNuCzvg!2m2!1d47.85430295465461!2d22.77144141940716!3f95.91999252452833!4f4.57502648641217!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Tiszabecs , Hungary",River,48.099158,22.827939,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5153.872072619068!2d22.823115223890827!3d48.10011054014586!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDjCsDA1JzU3LjAiTiAyMsKwNDknNDAuNiJF!5e1!3m2!1sen!2sie!4v1538173530731"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Tiszabecs  , Hungary",Road,48.09323,22.834499,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538173075014!6m8!1m7!1stZCtqR55c4-a_TIS7SgayQ!2m2!1d48.09224316071148!2d22.82772706264342!3f99.6279483943919!4f-0.5521400165577717!5f1.9587109090973311"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Záhony, Hungary",Road,48.413579,22.171686,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538173989297!6m8!1m7!1sk3k-A4EaP2Gic37MnxINJA!2m2!1d48.41935132656835!2d22.17021078875659!3f172.07422283481066!4f5.051996638295137!5f1.9587109090973311"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Záhony, Hungary",Railway,48.404683,22.177433,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2082.2340538584745!2d22.182593922486753!3d48.41521373224452!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDjCsDI0JzU0LjgiTiAyMsKwMTEnMDUuOSJF!5e1!3m2!1sen!2sie!4v1538174180244"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hungary - Ukraine
"Greb_eva-Ubi_inka, Latvia",Road,56.872146,27.833157,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538174453230!6m8!1m7!1sMKIfTM8H6QvVbJTIlh9pPw!2m2!1d56.86538116568232!2d27.82463390216478!3f41.18839118759461!4f0.008889018134809135!5f2.299968626952992"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"Indra-Bigosova, Latvia",Railway,56.879635,24.603189,,Latvia
"Kaplava-P_usi, Latvia",Road,55.718194,26.873453,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538176144729!6m8!1m7!1s2WCm7ivEzQ-jPCUZiFD8Aw!2m2!1d55.71937678596095!2d26.86679142041244!3f121.50409607076102!4f-0.1572596919196343!5f1.9587109090973311"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Belarus
"K_rsava-Skanga_i, Latvia",Railway,56.853221,27.72852,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1858.5842612461024!2d27.726197266370264!3d56.85332038891504!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTbCsDUxJzExLjYiTiAyN8KwNDMnNDIuNyJF!5e1!3m2!1sen!2sie!4v1538177131881"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"Meik__ni-Gavri_ino , Latvia",Road,,,,Latvia - Russia
"Pededze-Brunisheva, Latvia",Road,57.53519,27.472382,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538178570805!6m8!1m7!1scjOyhRR2bb91KnG2TdbqHQ!2m2!1d57.5322265930472!2d27.47480894247356!3f355.543137532725!4f-5.670652523658475!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"P_ternieki-Grigorov__ina , Latvia",Road,56.762528,23.934816,,Latvia
"Piedruja-Druja, Latvia",Road,55.796318,27.443598,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538178822920!6m8!1m7!1ssrF0qBQFp3Xp6PQka59rCQ!2m2!1d55.81987184051477!2d27.62145520382051!3f78.3468125723725!4f-0.6126551097992632!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Belarus
"Silene-Urbani , Latvia",Road,55.718147,26.873614,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538178927586!6m8!1m7!1syUSE3-hozNrv61hiW-jQSA!2m2!1d55.71939066237749!2d26.86692094540855!3f118.68551320410944!4f-0.14993039424464882!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Belarus
"Terehova-Bura_ki, Latvia",Road,56.353064,28.184854,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538179046752!6m8!1m7!1sDMA4P_X8WgPFObt2Mkv_Bw!2m2!1d56.35539835211905!2d28.18148838554613!3f105.78612835133109!4f5.159952925511178!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"Vientuli-Ludonka , Latvia",Road,57.134229,27.773208,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538179240383!6m8!1m7!1srMe-qR1uHC_wIx_0V4UvLw!2m2!1d57.13648809998946!2d27.7693975070784!3f139.04272193943203!4f0.026127972080871587!5f3.325193203789971"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"Zilupe-Posi_i, Latvia",Railway,56.387721,28.119561,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1563.962079665741!2d28.170523729116674!3d56.3888178817202!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTbCsDIzJzE5LjAiTiAyOMKwMTAnMjEuMyJF!5e1!3m2!1sen!2sie!4v1538179301772"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Latvia - Russia
"Adutiskis – Moldevi_iai, Lithuania",Road,55.149411,26.625066,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538179523578!6m8!1m7!1s53hW4mFItSYc_iNhzL-UbA!2m2!1d55.15082452501044!2d26.62103601585807!3f116.95704861026297!4f-1.5868532120788075!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Lithuania - Belarus
"Ei_i_k_s – Dociski, Lithuania",Road,54.174252,24.999369,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1538179790483!6m8!1m7!1sHEN6q3t3Adansl80XrlAGw!2m2!1d54.1416408793583!2d25.01618083723455!3f222.46829508337592!4f-5.088351917670337!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Lithuania - Belarus
"Jurbarkas – Sovetsk, Lithuania",River-Ferry,55.077407,22.741957,,Lithuania
"Kena – Gudagojis, Lithuania",Railway,54.59462,25.757485,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1007.2749627837634!2d25.755925639397052!3d54.594631973488404!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNTTCsDM1JzQwLjYiTiAyNcKwNDUnMjcuMCJF!5e1!3m2!1sen!2sie!4v1538180844533"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Lithuania - Belarus
