latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country,country_txt,attacktype
43.032888,-2.411348,1,16,10,1983,16/10/1983,Onate,Basque Country,185,Spain,Bombing/Explosion
54.433435,-6.888252,1,24,10,1983,24/10/1983,Carnteel,Northern Ireland,603,United Kingdom,Assassination
54.077313,-6.608787,1,24,10,1983,24/10/1983,Crossmaglen,Northern Ireland,603,United Kingdom,Bombing/Explosion
43.338233,-1.789272,1,26,10,1983,26/10/1983,irun,Basque Country,185,Spain,Assassination
54.100327,-7.320463,1,26,10,1983,26/10/1983,Redhills,Cavan,96,Ireland,Assassination
55.011562,-7.312045,1,28,10,1983,28/10/1983,Londonderry,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,1,29,10,1983,29/10/1983,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,2,1,11,1983,01/11/1983,Belfast,Northern Ireland,603,United Kingdom,Bombing/Explosion
,,1,5,11,1983,05/11/1983,Verbana,Unknown,185,Spain,Assassination
54.953823,-6.480002,1,5,11,1983,05/11/1983,Rasharkin,Northern Ireland,603,United Kingdom,Assassination
37.99749,23.762728,1,7,11,1983,07/11/1983,Athens,Attica,78,Greece,Assassination
54.347539,-6.656108,1,8,11,1983,08/11/1983,Armagh,Northern Ireland,603,United Kingdom,Assassination
43.258434,-2.921819,1,9,11,1983,09/11/1983,Bilbao,Basque Country,185,Spain,Assassination
54.081876,-5.947138,1,10,11,1983,10/11/1983,Ballymartin,Northern Ireland,603,United Kingdom,Assassination
43.420422,-2.722158,1,12,11,1983,12/11/1983,Bermeo,Basque Country,185,Spain,Assassination
54.607712,-5.95621,1,12,11,1983,12/11/1983,Belfast,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.347539,-6.656108,1,14,11,1983,14/11/1983,Armagh,Northern Ireland,603,United Kingdom,Assassination
37.99749,23.762728,2,15,11,1983,15/11/1983,Athens,Attica,78,Greece,Assassination
54.224159,-6.680845,3,20,11,1983,20/11/1983,Darkley,Northern Ireland,603,United Kingdom,Assassination
53.361675,-6.245485,2,24,11,1983,24/11/1983,Rathfarnham,Dublin,96,Ireland,Hostage Taking (Kidnapping)
54.463367,-6.328597,1,25,11,1983,25/11/1983,Lurgan,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,1,5,12,1983,05/12/1983,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.684823,-5.965868,1,5,12,1983,05/12/1983,Newtownabbey,Northern Ireland,603,United Kingdom,Assassination
54.607712,-5.95621,1,7,12,1983,07/12/1983,Belfast,Northern Ireland,603,United Kingdom,Assassination
43.32412,-1.929857,1,9,12,1983,09/12/1983,pasajes,Basque Country,185,Spain,Assassination
43.311307,-1.900896,1,9,12,1983,09/12/1983,Errenteria,Basque Country,185,Spain,Assassination
50.836426,4.367415,1,12,12,1983,12/12/1983,Brussels,Brussels,21,Belgium,Armed Assault
54.607712,-5.95621,1,12,12,1983,12/12/1983,Belfast,Northern Ireland,603,United Kingdom,Assassination
43.136978,-2.073914,1,15,12,1983,15/12/1983,Tolosa,Basque Country,185,Spain,Hostage Taking (Kidnapping)
