latitude,longitude,capacity,iday,imonth,iyear,date
54.597269,-5.930109,3,21,7,1972,21/07/1972
54.597269,-5.930109,2,22,7,1972,22/07/1972
54.597269,-5.930109,1,22,7,1972,22/07/1972
54.597269,-5.930109,1,23,7,1972,23/07/1972
54.597269,-5.930109,1,24,7,1972,24/07/1972
54.597269,-5.930109,1,24,7,1972,24/07/1972
54.597269,-5.930109,1,25,7,1972,25/07/1972
54.597269,-5.930109,1,26,7,1972,26/07/1972
54.597269,-5.930109,2,26,7,1972,26/07/1972
54.597269,-5.930109,1,27,7,1972,27/07/1972
54.595455,-5.797763,1,28,7,1972,28/07/1972
54.597269,-5.930109,1,29,7,1972,29/07/1972
54.597269,-5.930109,1,30,7,1972,30/07/1972
54.910864,-7.15523,9,31,7,1972,31/07/1972
54.823432,-7.468374,1,3,8,1972,03/08/1972
54.597269,-5.930109,1,4,8,1972,04/08/1972
54.42071,-6.443767,1,4,8,1972,04/08/1972
54.597269,-5.930109,1,7,8,1972,07/08/1972
54.253718,-7.44106,2,7,8,1972,07/08/1972
54.184008,-7.360209,1,7,8,1972,07/08/1972
54.597269,-5.930109,1,12,8,1972,12/08/1972
54.597269,-5.930109,1,13,8,1972,13/08/1972
54.597269,-5.930109,2,14,8,1972,14/08/1972
54.597269,-5.930109,1,14,8,1972,14/08/1972
54.597269,-5.930109,1,16,8,1972,16/08/1972
54.597269,-5.930109,1,17,8,1972,17/08/1972
54.597269,-5.930109,1,18,8,1972,18/08/1972
54.597269,-5.930109,1,18,8,1972,18/08/1972
54.597269,-5.930109,1,18,8,1972,18/08/1972
54.597269,-5.930109,1,18,8,1972,18/08/1972
54.597269,-5.930109,1,19,8,1972,19/08/1972
54.597269,-5.930109,1,20,8,1972,20/08/1972
54.597269,-5.930109,1,22,8,1972,22/08/1972
54.597269,-5.930109,1,23,8,1972,23/08/1972
54.077313,-6.608787,1,24,8,1972,24/08/1972
54.99451,-7.319996,1,25,8,1972,25/08/1972
54.99451,-7.319996,1,25,8,1972,25/08/1972
54.346531,-7.640404,2,26,8,1972,26/08/1972
54.597269,-5.930109,1,26,8,1972,26/08/1972
54.597269,-5.930109,1,26,8,1972,26/08/1972
54.597269,-5.930109,1,27,8,1972,27/08/1972
54.99451,-7.319996,1,27,8,1972,27/08/1972
54.597269,-5.930109,1,28,8,1972,28/08/1972
54.184008,-7.360209,1,28,8,1972,28/08/1972
43.230556,-2.845833,1,29,8,1972,29/08/1972
54.597269,-5.930109,1,30,8,1972,30/08/1972
54.597269,-5.930109,1,31,8,1972,31/08/1972
54.42071,-6.443767,1,31,8,1972,31/08/1972
11.558831,104.917445,1,27,9,1972,27/09/1972
