latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country_txt,region_txt,attacktype
54.607712,-5.95621,1,30,12,1980,30/12/1980,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
41.890961,12.490069,1,31,12,1980,31/12/1980,Rome,Lazio,Italy,Western Europe,Assassination
53.361675,-6.245485,1,0,1,1981,31/12/1980,Dublin,Dublin,Ireland,Western Europe,Assassination
53.971822,-6.486281,1,1,1,1981,01/01/1981,Knockbridge,Louth,Ireland,Western Europe,Assassination
43.311307,-1.900896,1,4,1,1981,04/01/1981,Errenteria,Basque Country,Spain,Western Europe,Assassination
41.890961,12.490069,1,6,1,1981,06/01/1981,Rome,Lazio,Italy,Western Europe,Assassination
54.607712,-5.95621,1,8,1,1981,08/01/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.102813,-6.259412,1,16,1,1981,16/01/1981,Warrenpoint,Northern Ireland,United Kingdom,Western Europe,Armed Assault
55.011562,-7.312045,1,20,1,1981,20/01/1981,Londonderry,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.088462,-6.37122,1,20,1,1981,20/01/1981,Jonesborough,Northern Ireland,United Kingdom,Western Europe,Assassination
54.347539,-6.656108,2,21,1,1981,21/01/1981,Armagh,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,24,1,1981,24/01/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
48.856644,2.34233,1,24,1,1981,24/01/1981,Paris,Paris,France,Western Europe,Unarmed Assault
43.413244,-2.902253,1,30,1,1981,30/01/1981,Urizar de Lemoniz,Basque Country,Spain,Western Europe,Hostage Taking (Kidnapping)
45.409538,11.876554,2,5,2,1981,05/02/1981,Padua,Veneto,Italy,Western Europe,Assassination
54.607712,-5.95621,1,6,2,1981,06/02/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,8,2,1981,08/02/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,10,2,1981,10/02/1981,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
45.463681,9.188171,1,17,2,1981,17/02/1981,Milan,Lombardy,Italy,Western Europe,Assassination
54.607712,-5.95621,1,22,2,1981,22/02/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,23,2,1981,23/02/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
43.22048,-2.021122,1,3,3,1981,03/03/1981,Andoain,Basque Country,Spain,Western Europe,Assassination
59.332788,18.064488,1,28,2,1986,28/02/1986,Stockholm,Stockholm,Sweden,Western Europe,Armed Assault
48.856644,2.34233,2,4,3,1981,04/03/1981,Paris,Paris,France,Western Europe,Assassination
43.258434,-2.921819,1,5,3,1981,05/03/1981,Bilbao,Basque Country,Spain,Western Europe,Assassination
50.775439,6.08151,1,17,3,1981,17/03/1981,Aachen,North Rhine-Westphalia,West Germany (FRG),Western Europe,Assassination
54.607712,-5.95621,1,19,3,1981,19/03/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
42.815372,-1.653616,1,21,3,1981,21/03/1981,Pamplona,Navarre,Spain,Western Europe,Assassination
43.291618,-1.977903,1,27,3,1981,27/03/1981,Donostia-San Sebastian,Basque Country,Spain,Western Europe,Assassination
54.607712,-5.95621,1,27,3,1981,27/03/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,27,3,1981,27/03/1981,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
52.202544,0.131237,1,0,4,1981,31/03/1981,Cambridge,England,United Kingdom,Western Europe,Assassination
54.347539,-6.656108,1,2,4,1981,02/04/1981,Armagh,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
41.890961,12.490069,1,7,4,1981,07/04/1981,Rome,Lazio,Italy,Western Europe,Assassination
55.011562,-7.312045,1,7,4,1981,07/04/1981,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
43.258434,-2.921819,1,8,4,1981,08/04/1981,Bilbao,Basque Country,Spain,Western Europe,Unknown
43.258434,-2.921819,1,8,4,1981,08/04/1981,Bilbao,Basque Country,Spain,Western Europe,Armed Assault
