latitude,longitude,capacity,iday,imonth,iyear,date,city,region_txt,provstate,country_txt,attacktype
55.011562,-7.312045,2,27,10,1971,26233,Londonderry,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
53.361675,-6.245485,1,27,10,1971,26233,Dublin,Western Europe,Dublin,Ireland,Assassination
54.607712,-5.95621,2,1,11,1971,26238,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,3,2,11,1971,26239,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.463367,-6.328597,1,7,11,1971,26244,Lurgan,Western Europe,Northern Ireland,United Kingdom,Assassination
55.011562,-7.312045,1,9,11,1971,26246,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,2,11,11,1971,26248,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,12,11,1971,26249,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,18,11,1971,26255,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.819164,-7.467909,1,24,11,1971,26261,Strabane,Western Europe,Northern Ireland,United Kingdom,Armed Assault
54.463367,-6.328597,1,24,11,1971,26261,Lurgan,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.183052,-6.341388,2,27,11,1971,26264,Newry,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,27,11,1971,26264,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
30.084629,31.334314,1,28,11,1971,26265,Cairo,Middle East & North Africa,Cairo,Egypt,Assassination
54.607712,-5.95621,1,28,11,1971,26265,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.077313,-6.608787,1,29,11,1971,26266,Crossmaglen,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,15,4,12,1971,26271,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,4,12,1971,26271,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,6,12,1971,26273,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.351322,-6.837455,1,7,12,1971,26274,Caledon,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,8,12,1971,26275,"Ballymurphy, Belfast",Western Europe,Northern Ireland,United Kingdom,Assassination
54.794884,-7.537385,2,10,12,1971,26277,Clady,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,4,11,12,1971,26278,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.819164,-7.467909,1,12,12,1971,26279,Strabane,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,16,12,1971,26283,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,18,12,1971,26285,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,20,12,1971,26287,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,21,12,1971,26288,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
55.011562,-7.312045,1,29,12,1971,26296,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,5,1,1972,26303,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,12,1,1972,26310,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.684823,-5.965868,1,13,1,1972,26311,Newtownabbey,Western Europe,Northern Ireland,United Kingdom,Assassination
31.502407,34.459743,1,16,1,1972,26314,Gaza,Middle East & North Africa,Gaza Strip,West Bank and Gaza Strip,Armed Assault
54.607712,-5.95621,1,18,1,1972,26316,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.250039,-6.703625,1,21,1,1972,26319,Keady,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
,,26,26,1,1972,26324,Unknown,Eastern Europe,Unknown,Czechoslovakia,Bombing/Explosion
54.255696,-5.948804,1,26,1,1972,26324,Castlewellan,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
55.011562,-7.312045,2,27,1,1972,26325,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,28,1,1972,26326,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,31,1,1972,26329,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,7,1,2,1972,26330,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,1,2,1972,26330,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
52.50153,13.401851,1,2,2,1972,26331,Kladow,Western Europe,Berlin,West Germany (FRG),Bombing/Explosion
54.577389,-6.677339,1,2,2,1972,26331,Stewartstown,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.250039,-6.703625,2,6,2,1972,26335,Keady,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,8,2,1972,26337,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.347539,-6.656108,1,8,2,1972,26337,Armagh,Western Europe,Northern Ireland,United Kingdom,Armed Assault
